Reduxo ID,Fulcrum ID,Date,Latitude,Longitude,Site,Space,Level,Location Description,Asset Category,Asset Sub Category,Asset Type,GPS With Arrow,Parent QR Code,QR Code,Quantity,Condition,Photo 1,Condition Ranking,Condition Point
RSP03780,42038ad2-81e8-4190-9394-7d9a1c70ac38,2021-11-10,-33.87294292,121.9014195,Esperance,6.6KV HV SUBSTATION 2,Ground,External,HVAC,Air Conditioning,Outdoor Condenser Unit (Split),No,,101854,1,3 - Good,RSP03780_Q101854_20211110_01.jpg,Good,3
RSP03781,bc3fe7ea-0173-407a-ae39-6ad81b5b3324,2021-11-10,-33.87292761,121.9013914,Esperance,6.6KV HV SUBSTATION 2,Ground,External,Electrical,Lighting,Fluorescent Light - Double,No,,,5,3 - Good,,Good,3
RSP03782,49acd327-4eb6-4247-9f2d-86f30dc3c21b,2021-11-19,-33.87297756,121.9014863,Esperance,6.6KV HV SUBSTATION 2,Ground,External,Port Specific,Berth,Bollard (Mooring Point),Yes,,,2,3 - Good,RSP03782_20211119_01.jpg,Good,3
RSP03783,666eb268-7647-490b-89b8-eaa894fcf27a,2021-11-19,-33.87297756,121.9014863,Esperance,6.6KV HV SUBSTATION 2,Ground,External,Port Specific,Berth,Lifebuoy,Yes,,,1,3 - Good,,Good,3
RSP03784,a7c63f6d-277b-406c-a7c2-79ac24bf3053,2021-11-19,-33.87297756,121.9014863,Esperance,6.6KV HV SUBSTATION 2,Ground,External,Port Specific,Berth,"Mooring Assembly (includes hooks, capstan etc)",Yes,,103599,1,3 - Good,RSP03784_Q103599_20211119_01.jpg,Good,3
RSP03805,6xb0f61f2-2d2e-4e4f-bb46-3e3e34e38173,2021-11-25,-33.86850473,121.8935208,Esperance,Admin Building,Ground,Cleaner's Room,Electrical,Lighting,Fluorescent Light - Double,No,,,1,3 - Good,,Good,3
RSP03806,b73117a4-901e-4a15-80ec-027961c00004,2021-11-26,-33.86847272,121.8935613,Esperance,Admin Building,Ground,Conference Room,IT & Communications,Audio Visual,Projector,No,,No QR Code,1,3 - Good,RSP03806_20211126_01.jpg,Good,3
RSP03807,32bbe197-6daa-42c5-b909-8c696ccff3ed,2021-11-25,-33.86847272,121.8935613,Esperance,Admin Building,Ground,Conference Room,IT & Communications,Audio Visual,Television (Display) (TV),No,,,2,3 - Good,RSP03807_20211125_01.jpg,Good,3
RSP03808,e2a25c24-3908-451a-b38f-d5836489af88,2021-11-25,-33.86847272,121.8935613,Esperance,Admin Building,Ground,Conference Room,Fire Equipment,Fire Suppression,Fire Blanket,No,,No QR Code,1,3 - Good,,Good,3
RSP03809,87acb6bb-191b-4a03-8233-a0b82ff5ad9f,2021-11-25,-33.86847272,121.8935613,Esperance,Admin Building,Ground,Conference Room,Fire Equipment,Fire Detection,Smoke Detector,No,,,1,3 - Good,,Good,3
RSP04205,df351b6d-d1ea-47ac-a4a6-4938cc29b597,2021-11-24,-33.87170862,121.902419,Esperance,Aft,Ground,External,Electrical,Lighting,LED Light,No,,,3,3 - Good,,Good,3
RSP04206,22cc9eaa-9302-4094-906c-953f75688515,2021-11-24,-33.87165188,121.9022867,Esperance,Aft,Ground,External,Port Specific,Berth,Lifebuoy,Yes,,,1,3 - Good,,Good,3
RSP04207,18bad581-4cf9-415e-9f6f-d25a3b6c38b4,2021-11-24,-33.87165188,121.9022867,Esperance,Aft,Ground,External,Port Specific,Berth,"Mooring Assembly (includes hooks, capstan etc)",Yes,,103787,1,3 - Good,RSP04207_Q103787_20211124_01.jpg,Good,3
RSP04208,cc2af854-bb1a-4be1-98f6-ce199e342c0d,2021-11-24,-33.87165188,121.9022867,Esperance,Aft,Ground,External,Port Specific,Conveyer,Emergency Stop (button),Yes,103787,103788,1,3 - Good,RSP04208_Q103788_20211124_01.jpg,Good,3
RSP04209,310c2bfe-f4f5-4322-af26-f72b9ef8e1f0,2021-11-23,-33.8736408,121.9018316,Esperance,Archive Shed,Ground,,Electrical,Power Distribution,Distribution Board (DB),No,,103309,1,3 - Good,RSP04209_Q103309_20211123_01.jpg,Good,3
RSP04210,f572d984-2bc5-4e51-b804-7054a400b1a0,2021-11-23,-33.87363022,121.9017806,Esperance,Archive Shed,Ground,,Furniture & Fittings,Furniture,Shelving,No,,,9,3 - Good,RSP04210_20211123_01.jpg,Good,3
RSP04211,55bccd88-c237-4165-88c8-c3466d1aac00,2021-11-23,-33.8736408,121.9018316,Esperance,Archive Shed,Ground,,HVAC,Air Conditioning,RAC (Room Air Conditioner),No,,103310,1,3 - Good,RSP04211_Q103310_20211123_01.jpg,Good,3
RSP04212,70f38042-5bef-475f-8c8c-fb057aea729a,2021-11-23,-33.87363022,121.9017806,Esperance,Archive Shed,Ground,,Electrical,Lighting,Fluorescent Light - Single,No,,,3,3 - Good,,Good,3
RSP04213,d52b0c60-064c-410b-a038-e690230e5e91,2021-11-23,-33.87363022,121.9017806,Esperance,Archive Shed,Ground,,Furniture & Fittings,Office Furniture,Filing Cabinet - 2 drawer,No,,,1,3 - Good,,Good,3
RSP04217,eb3780ed-083b-492c-b2c9-8ceee0dd5f5b,2021-11-26,-33.87017113,121.8940921,Esperance,Asset & Engineering Services,Ground,Andreas Maier,HVAC,Air Conditioning,Indoor Fan Unit (Split) - Wall Mounted,No,,103930,1,3 - Good,RSP04217_Q103930_20211126_01.jpg,Good,3
RSP04218,e285a63b-1d56-45b6-837d-d24c4012c25b,2021-11-26,-33.87017113,121.8940921,Esperance,Asset & Engineering Services,Ground,Andreas Maier,IT & Communications,IT,Docking Station,No,,,1,3 - Good,,Good,3
RSP04219,d9dcc59c-32a4-4e9c-8037-8700302d719e,2021-11-26,-33.87017113,121.8940921,Esperance,Asset & Engineering Services,Ground,Andreas Maier,IT & Communications,IT,Laptop Computer,No,,,1,3 - Good,RSP04219_20211126_01.jpg,Good,3
RSP04220,61f34ccf-89c4-4b7c-8181-fc5cfcec1c74,2021-11-26,-33.87017113,121.8940921,Esperance,Asset & Engineering Services,Ground,Andreas Maier,IT & Communications,IT,Monitor,No,,,2,3 - Good,,Good,3
RSP04221,bb9435fa-5c18-4c99-ab53-7edd823fb9bd,2021-11-26,-33.87017113,121.8940921,Esperance,Asset & Engineering Services,Ground,Andreas Maier,IT & Communications,IT,Printer,No,,,2,3 - Good,RSP04221_20211126_01.jpg,Good,3
RSP04246,b9210ef7-29ef-4c96-9bde-5a081d6a0c68,2021-11-12,-33.87149496,121.8988605,Esperance,Berth 1,Ground,East End,Fire Equipment,Fire Suppression,Hydrant,Yes,,101639,1,3 - Good,RSP04246_Q101639_20211112_01.jpg,Good,3
RSP04247,73597ecb-af81-4d77-94c9-d1a39d5b9ef7,2021-11-12,-33.87145899,121.8986202,Esperance,Berth 1,Ground,East End,Fire Equipment,Fire Detection,Manual Call Point (Red Break Glass),Yes,,,1,3 - Good,RSP04247_20211112_01.jpg,Good,3
RSP04248,82117313-128b-40be-be5e-f31f7c3f8b15,2021-11-12,-33.87143182,121.8985774,Esperance,Berth 1,Ground,East End,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,Yes,,101637,1,3 - Good,RSP04248_Q101637_20211112_01.jpg,Good,3
RSP04249,87fcd989-5eac-4797-b5b0-5520dc756cc9,2021-11-12,-33.87156556,121.898722,Esperance,Berth 1,Ground,East End,Port Specific,Berth,"Mooring Assembly (includes hooks, capstan etc)",Yes,,107407,1,3 - Good,RSP04249_Q107407_20211112_01.jpg,Good,3
RSP04250,9fc165a3-ba67-4a47-99d3-e951aba4c930,2021-11-12,-33.87176548,121.8991359,Esperance,Berth 1,Ground,East End,Port Specific,Berth,"Mooring Assembly (includes hooks, capstan etc)",Yes,,107409,1,3 - Good,RSP04250_Q107409_20211112_01.jpg,Good,3
RSP04291,c363b112-223d-4609-99fa-d8032796522d,2021-11-02,-33.87236113,121.9001696,Esperance,Berth 2,Ground,Beside TRU 4,Fire Equipment,Fire Detection,Manual Call Point (Red Break Glass),No,,,1,3 - Good,RSP04291_20211102_01.jpg,Good,3
RSP04292,60db04c4-b117-4b91-87a6-8bc84c7ade1c,2021-11-12,-33.87308687,121.9008765,Esperance,Berth 2,Ground,Container Lay Down Area,Building,Building,Building,Yes,,109378,1,3 - Good,RSP04292_Q109378_20211112_01.jpg,Good,3
RSP04293,b3b3b51b-29ab-451c-995f-aed022197689,2021-11-12,-33.87305022,121.901052,Esperance,Berth 2,Ground,Container Lay Down Area,Port Specific,Enviromental,Spill Response,Yes,,,16,4 - Fair,RSP04293_20211112_01.jpg,Fair,4
RSP04294,c6eb78b5-a6c0-4934-9726-62d14a3fa586,2021-11-02,-33.87195136,121.8994565,Esperance,Berth 2,Ground,COVID 19 PPE STATION,Building,Building,Building,No,,109286,1,3 - Good,RSP04294_Q109286_20211102_01.jpg,Good,3
RSP04295,303d6e31-3516-4c29-bc61-3ebba6425094,2021-11-02,-33.8722623,121.9001421,Esperance,Berth 2,Ground,Lifting Equipment Container,Building,Building,Building,No,,109285,1,3 - Good,RSP04295_Q109285_20211102_01.jpg,Good,3
RSP04364,4dea4d69-a885-4f4c-b6d5-0e37af931a55,2021-10-27,-33.87033844,121.9028555,Esperance,Berth 3,Ground,,Building,Building,Building,No,,109253,1,3 - Good,RSP04364_Q109253_20211027_01.jpg,Good,3
RSP04365,f1e62841-0ce5-43f1-a3d8-3a96c5405e31,2021-11-19,-33.8697853,121.9032183,Esperance,Berth 3,Ground,,Electrical,Power Distribution,Cathodic Protection,No,,,1,4  - Fair,RSP04365_20211119_01.jpg,Fair,4
RSP04366,29f4eccd-6979-415c-ba05-77f5dab94dfa,2021-11-19,-33.87052507,121.9026927,Esperance,Berth 3,Ground,,Fire Equipment,Fire Suppression,Hydrant,Yes,,103575,1,3 - Good,RSP04366_Q103575_20211119_01.jpg,Good,3
RSP04367,2f01108b-34ff-4c59-9ae9-e999983c950e,2021-11-19,-33.87014996,121.9029508,Esperance,Berth 3,Ground,,Fire Equipment,Fire Suppression,Hydrant,Yes,,103578,1,3 - Good,RSP04367_Q103578_20211119_01.jpg,Good,3
RSP04368,f12b8723-7b53-4e93-a365-eae524c8dc63,2021-11-19,-33.86940091,121.9034669,Esperance,Berth 3,Ground,,Fire Equipment,Fire Suppression,Hydrant,Yes,,103584,1,3 - Good,RSP04368_Q103584_20211119_01.jpg,Good,3
RSP04395,412a9a00-13b1-489a-8b5a-e3681ce5452b,2021-11-19,-33.87084589,121.9032186,Esperance,Berth 3 Bridge,Ground,,Electrical,Lighting,Flood Light,Yes,,107486,1,3 - Good,RSP04395_Q107486_20211119_01.jpg,Good,3
RSP04396,83746e89-cc27-440c-b1ea-83d0f3bd3043,2021-11-19,-33.87071329,121.902942,Esperance,Berth 3 Bridge,Ground,,Electrical,Lighting,Flood Light - LED,Yes,,107487,1,3 - Good,RSP04396_Q107487_20211119_01.jpg,Good,3
RSP04397,260b5956-fd1a-4285-a6f8-ee928dfdc754,2021-11-10,-33.87291397,121.9013461,Esperance,BERTH NO.2 MCC,Ground,External,Electrical,Lighting,Fluorescent Light - Double,No,109331,,1,3 - Good,RSP04397_20211110_01.jpg,Good,3
RSP04398,43221137-16da-444e-9a3e-0da19e4cb2f2,2021-11-10,-33.87290033,121.9013008,Esperance,BERTH NO.2 MCC,Ground,External,Port Specific,Conveyer,Audible Alert Device (Siren),No,109331,,1,3 - Good,,Good,3
RSP04399,6b7cb14c-468c-45fa-840c-9e90eab301e3,2021-11-10,-33.87290033,121.9013008,Esperance,BERTH NO.2 MCC,Ground,External,Port Specific,Conveyer,Visual Alert Device (Strobe or Light),No,109331,,1,3 - Good,RSP04399_20211110_01.jpg,Good,3
RSP04400,3997c4a7-1a97-453a-84d5-2582b8fe0da1,2021-11-10,-33.8732065,121.9011517,Esperance,BERTH NO.2 MCC,Ground,,Security & Access,Access Control,Emergency Exit Button (Break Glass),No,,,1,3 - Good,,Good,3
RSP04401,825e5223-e6a0-4131-b972-c46458665c6e,2021-11-10,-33.87290117,121.9013418,Esperance,BERTH NO.2 MCC,Ground,,Building,Building,Building,No,,109331,1,3 - Good,RSP04401_Q109331_20211110_01.jpg,Good,3
RSP04448,a88636cb-55ff-418e-98d4-976fda5d4cd6,2021-11-18,-33.87464675,121.9046812,Esperance,Bio Security Wash Down,Ground,,Building,Building,Building,Yes,,109049,1,3 - Good,RSP04448_Q109049_20211118_01.jpg,Good,3
RSP04449,e7bfc751-02e9-4456-82d8-72f6cedc7cf3,2021-11-18,-33.87467652,121.9046817,Esperance,Bio Security Wash Down,Ground,,Building,Building,Building,Yes,,107470,1,3 - Good,RSP04449_Q107470_20211118_01.jpg,Good,3
RSP04450,cccb3b89-a1dd-47a4-9385-8b2298d03269,2021-11-18,-33.87479368,121.9045914,Esperance,Bio Security Wash Down,Ground,,Fire Equipment,Fire Suppression,Portable Fire Extinguisher,Yes,,103530,1,3 - Good,,Good,3
RSP04451,add97c55-004c-4c9c-bda3-b5821279948e,2021-11-18,-33.87497493,121.9045142,Esperance,Bio Security Wash Down,Ground,,Electrical,Lighting,Flood Light,Yes,,107471,1,3 - Good,RSP04451_Q107471_20211118_01.jpg,Good,3
RSP04452,b23029f2-775f-440c-8d83-11cc46e6fffa,2021-11-18,-33.8746218,121.9047567,Esperance,Bio Security Wash Down,Ground,,Electrical,Lighting,Flood Light - LED,Yes,,107473,2,3 - Good,RSP04452_Q107473_20211118_01.jpg,Good,3
RSP04456,af535fd6-41d6-4544-9f65-734184bb8f27,2021-11-26,-33.87127351,121.8942423,Esperance,Bio Security Waste Yard,Ground,,Building,Building,Building,No,,109043,1,3 - Good,RSP04456_Q109043_20211126_01.jpg,Good,3
RSP04457,0c1e6d4d-2546-4cb8-bd30-33f9bd6bd164,2021-11-26,-33.87135925,121.8942094,Esperance,Bio Security Waste Yard,Ground,,Security & Access,Security,Alarm System,No,,103943,1,3 - Good,RSP04457_Q103943_20211126_01.jpg,Good,3
RSP04458,cb15bc53-1832-4bef-a65d-7cf8a412eae5,2021-11-24,-33.87346821,121.9011436,Esperance,Boilermakers Workshop,Ground,External,Electrical,Lighting,Flood Light,No,,,1,3 - Good,,Good,3
RSP04459,67ebb710-d8d1-4324-b366-6be313dcc844,2021-11-24,-33.87346821,121.9011436,Esperance,Boilermakers Workshop,Ground,External,Electrical,Lighting,Flood Light - LED,No,,,1,3 - Good,,Good,3
RSP04460,c0a6c9c8-2ebf-47c5-8071-c60d0b45afe1,2021-11-24,-33.87338553,121.9012066,Esperance,Boilermakers Workshop,Ground,External,Plant & Equipment,Workshop Equipment,Trolley,No,,,6,4  - Fair,RSP04460_20211124_01.jpg,Fair,4
RSP04461,e2d0eaf7-195c-47ed-be43-8ff8ba3a0a04,2021-11-24,-33.8733805,121.9011405,Esperance,Boilermakers Workshop,Ground,External,Plant & Equipment,Workshop Equipment,Trolley,No,,,1,3 - Good,,Good,3
RSP04462,0778ad17-7a36-42a6-aa28-4d92d01ad5a3,2021-11-24,-33.87332902,121.9010789,Esperance,Boilermakers Workshop,Ground,External Shed,Furniture & Fittings,Furniture,Shelf Racking,No,,,1,3 - Good,RSP04462_20211124_01.jpg,Good,3
RSP04552,2144bb78-980c-4563-8e60-1107b959b9c9,2021-11-24,-33.87348519,121.9010139,Esperance,Boilermakers/Mechanical Workshop,Ground,,Building,Building,Building,No,,109029,1,3 - Good,RSP04552_Q109029_20211124_01.jpg,Good,3
RSP04553,5374d30e-fd75-4ff2-a0b4-7e8e18d1835e,2021-11-04,-33.8728903,121.8948075,Esperance,Bostock St,Ground,External,Port Specific,Enviromental,Air Monitor,Yes,,101203,1,3 - Good,RSP04553_Q101203_20211104_01.jpg,Good,3
RSP04554,aa524d71-dbeb-4c93-9468-d9d10287c2fc,2021-11-04,-33.87242925,121.8935911,Esperance,Bostock St,Ground,Site 3 - Environmental,Port Specific,Enviromental,Air Monitor,Yes,,101208,1,3 - Good,RSP04554_Q101208_20211104_01.jpg,Good,3
RSP04555,8c6edcae-5f93-456a-bda6-1367666d66e4,2021-11-04,-33.87239147,121.8935587,Esperance,Bostock St,Ground,Site 3 - Environmental,Port Specific,Enviromental,Air Monitor,Yes,,101207,1,3 - Good,RSP04555_Q101207_20211104_01.jpg,Good,3
RSP04556,94eda608-382b-4816-b7f0-25b63479e21e,2021-11-04,-33.87314076,121.8960709,Esperance,Bostock St,Ground,Site 4 - Environmental,HVAC,Air Conditioning,RAC (Room Air Conditioner),Yes,,No QR Code,1,3 - Good,,Good,3
RSP04557,c417f374-2bdd-4fda-882b-662d31b777e7,2021-11-04,-33.87316302,121.8961091,Esperance,Bostock St,Ground,Site 4 - Environmental,Port Specific,Enviromental,Air Monitor,Yes,,101204,1,3 - Good,RSP04557_Q101204_20211104_01.jpg,Good,3
RSP04560,5bd6bf90-d911-4450-9ff9-7d3f9e730979,2021-11-19,-33.8673875,121.9077226,Esperance,Break Water,Ground,,Port Specific,Navigational,Land Based Navigational Aid,Yes,,103301,1,3 - Good,RSP04560_Q103301_20211119_01.jpg,Good,3
RSP04561,6d117e71-c430-4cc5-94a8-ccd12ba808db,2021-11-03,-33.87185027,121.9027792,Esperance,By Pilot Boat Jetty,Ground,,Building,Building,Building,Yes,,100760,1,3 - Good,RSP04561_Q100760_20211103_01.jpg,Good,3
RSP04562,5c8c273a-4778-4928-8566-16d3c6399c90,2021-11-03,-33.87200116,121.9025897,Esperance,By Pilot Boat Jetty,Ground,,Hydraulics,Domestic Water,Water Pump,Yes,,100759,1,3 - Good,RSP04562_Q100759_20211103_01.jpg,Good,3
RSP04563,fa03d0bf-f817-4c04-9e5e-f38979f09386,2021-11-03,-33.87224882,121.9024447,Esperance,By Tug Jetty,Ground,,Electrical,Power Distribution,Distribution Board (DB),Yes,,100756,1,3 - Good,RSP04563_Q100756_20211103_01.jpg,Good,3
RSP04564,e236f8f6-da9c-41b7-bbf7-0129b4a7877d,2021-11-03,-33.87227318,121.902475,Esperance,By Tug Jetty,Ground,,Fire Equipment,Fire Suppression,Hydrant,Yes,,100757,1,4  - Fair,RSP04564_Q100757_20211103_01.jpg,Fair,4
RSP04565,0c998467-da7a-4b95-964e-bef24ee2fa15,2021-11-03,-33.87226237,121.9025293,Esperance,By Tug Jetty,Ground,,Hydraulics,Domestic Water,Water Tank,Yes,,100758,1,3 - Good,RSP04565_Q100758_20211103_01.jpg,Good,3
RSP04566,e01d8291-5213-489b-9070-608037589b2a,2021-11-26,-33.87308489,121.8986153,Esperance,CBH Compound,Ground,,Port Specific,Navigational,Land Based Navigational Aid,No,,No QR Code,1,3 - Good,RSP04566_20211126_01.jpg,Good,3
RSP04567,921fcf13-64fa-4bab-b244-6abda880b059,2021-11-03,-33.87187982,121.9026671,Esperance,Chemical Storage Area,Ground,,Building,Building,Building,No,,109288,1,3 - Good,RSP04567_Q109288_20211103_01.jpg,Good,3
RSP04568,60a0eb01-9089-4d92-bd92-c919f7341696,2021-11-03,-33.87188316,121.9026654,Esperance,Chemical Storage Area,Ground,,Plant & Equipment,Workshop Equipment,Flammable Goods Cabinet,No,,100941,1,3 - Good,RSP04568_Q100941_20211103_01.jpg,Good,3
RSP04569,eff5e328-abe0-49ec-ae6c-973a3bd6a7c2,2021-11-03,-33.87187369,121.9026641,Esperance,Chemical Storage Area,Ground,,Plant & Equipment,Workshop Equipment,Flammable Goods Cabinet,No,,100940,1,3 - Good,RSP04569_Q100940_20211103_01.jpg,Good,3
RSP04570,0612e072-4b6a-4321-84c9-11f4731afc91,2021-11-03,-33.87187425,121.9026668,Esperance,Chemical Storage Area,Ground,,Plant & Equipment,Workshop Equipment,Flammable Goods Cabinet,No,,100942,1,3 - Good,RSP04570_Q100942_20211103_01.jpg,Good,3
RSP04571,55581770-55bb-4f0e-9170-e2f1f4f85f33,2021-11-23,-33.87352103,121.9006052,Esperance,Civil Crew Container 1,Ground,Maintenance Workshop External,Building,Building,Building,Yes,,109073,1,3 - Good,RSP04571_Q109073_20211123_01.jpg,Good,3
RSP04572,10ab8fe4-9857-47b6-93d3-bafcf8ee20cc,2021-11-23,-33.87352103,121.9006052,Esperance,Civil Crew Container 1,Ground,Maintenance Workshop External,Furniture & Fittings,Furniture,Shelf Racking,Yes,,,6,3 - Good,,Good,3
RSP04573,60bd53ea-b058-4b6e-bdee-1ea3ec6fbc1a,2021-11-23,-33.87352103,121.9006052,Esperance,Civil Crew Container 1,Ground,Maintenance Workshop External,Electrical,Emergency Lighting,Exit Light,Yes,,,1,3 - Good,,Good,3
RSP04574,a7d6af92-62a9-4580-a462-627b2aea5e36,2021-11-23,-33.87352103,121.9006052,Esperance,Civil Crew Container 1,Ground,Maintenance Workshop External,Electrical,Lighting,Fluorescent Light - Double,Yes,,,4,3 - Good,,Good,3
RSP04575,f9a0fd9d-97ac-4b43-9543-db2b66ab6efd,2021-11-23,-33.87352103,121.9006052,Esperance,Civil Crew Container 1,Ground,Maintenance Workshop External,Furniture & Fittings,Office Furniture,Cabinet with Doors,Yes,,,5,3 - Good,,Good,3
RSP04576,a9fe843d-765b-4ac8-9d04-8776a46ac90a,2021-11-23,-33.87353919,121.9006199,Esperance,Civil Crew Container 2,Ground,Maintenance Workshop External,Building,Building,Building,No,,109074,1,3 - Good,RSP04576_Q109074_20211123_01.jpg,Good,3
RSP04577,a0c02f38-48c6-4089-a5c4-01d11c10c81e,2021-11-23,-33.87353919,121.9006199,Esperance,Civil Crew Container 2,Ground,Maintenance Workshop External,Plant & Equipment,Workshop Equipment,Power Tools,No,,,1,3 - Good,RSP04577_20211123_01.jpg,Good,3
RSP04578,42e93a50-43cd-4b32-8411-2968653597cc,2021-11-23,-33.87353919,121.9006199,Esperance,Civil Crew Container 2,Ground,Maintenance Workshop External,Plant & Equipment,Workshop Equipment,Power Tools,No,,103730,1,3 - Good,RSP04578_Q103730_20211123_01.jpg,Good,3
RSP04579,b56bcddf-15c0-4631-965d-df39426ac794,2021-11-23,-33.87353919,121.9006199,Esperance,Civil Crew Container 2,Ground,Maintenance Workshop External,Plant & Equipment,Workshop Equipment,Power Tools,No,,103727,1,3 - Good,RSP04579_Q103727_20211123_01.jpg,Good,3
RSP04580,dce51168-9f0e-46cb-b410-e89efdb39c8c,2021-11-23,-33.87353919,121.9006199,Esperance,Civil Crew Container 2,Ground,Maintenance Workshop External,Plant & Equipment,Workshop Equipment,Power Tools,No,,103731,1,3 - Good,RSP04580_Q103731_20211123_01.jpg,Good,3
RSP04583,7898b10f-f2a4-49a6-bb9f-aba61622acbe,2021-11-23,-33.87357371,121.9006316,Esperance,Civil Crew Container 3,Ground,Maintenance Workshop External,Building,Building,Building,No,,109075,1,3 - Good,RSP04583_Q109075_20211123_01.jpg,Good,3
RSP04584,aa24ca6e-a280-4d89-bc6d-8ad394851604,2021-11-26,-33.87360684,121.9007141,Esperance,Civil Crew Container 3,Ground,,Building,Building,Building,No,,109076,1,3 - Good,RSP04584_Q109076_20211126_01.jpg,Good,3
RSP04585,c8952e6e-1176-4b38-860b-be153dc958ef,2021-11-26,-33.87360684,121.9007141,Esperance,Civil Crew Container 3,Ground,,Furniture & Fittings,Furniture,Shelf Racking,No,109076,,6,3 - Good,RSP04585_20211126_01.jpg,Good,3
RSP04586,5a8a96d7-fbe3-49f0-b500-7074b7a292ee,2021-11-23,-33.87355172,121.9006424,Esperance,Civil Crew Container Area,Ground,Maintenance Workshop External,Plant & Equipment,Workshop Equipment,Flammable Goods Cabinet,No,,103732,1,3 - Good,RSP04586_Q103732_20211123_01.jpg,Good,3
